artist_names;song_name;track_id;release_date;duration_ms;genres;explicit;popularity;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo
['Yeat'];Breathe;5NAOhPAZ57eFAXr3qatS6i;2024-02-16;170847;['pluggnb', 'rage rap'];True;73;0.76;0.546;11;-13.092;1;0.0616;0.0284;0.924;0.103;0.113;118.051
['Hodak', 'Kukon', '2K', 'Sergiusz'];Online;724YuUdRGsBgyrcYLKM42d;2022-07-12;160729;['polish alternative rap', 'polish trap', 'polish hip hop'];False;39;0.6;0.657;10;-7.746;0;0.117;0.206;0.000193;0.11;0.269;99.917
['$uicideboy$'];Us Vs. Them;3cmdqMDc0Fj4TgPeyDOYTM;2024-03-29;184633;['dark trap', 'cloud rap', 'new orleans rap', 'underground hip hop'];True;64;0.651;0.906;6;-4.454;1;0.172;0.046;0.214;0.895;0.509;77.978
['21 Savage'];redrum;52eIcoLUM25zbQupAZYoFh;2024-01-12;270698;['rap', 'atl hip hop', 'hip hop'];True;81;0.625;0.733;2;-8.757;1;0.0488;0.00598;0.000983;0.375;0.244;172.09
['KILLY'];Distance;6ytguNuHyIOozRmBOXPjns;2017-08-25;148707;['canadian trap', 'canadian hip hop', 'melodic rap'];True;33;0.621;0.558;7;-5.881;1;0.0728;0.661;0;0.112;0.68;183.843
['Travis Scott'];MY EYES;4kjI1gwQZRKNDkw1nI475M;2023-07-28;251250;['rap', 'slap house'];True;82;0.455;0.621;0;-7.694;0;0.0517;0.651;2.59e-06;0.123;0.28;119.043
['Future', 'Metro Boomin', 'Travis Scott'];Cinderella;0hKtu53OlIFXVuYkZwcn3o;2024-03-22;169840;['trap', 'slap house', 'rap', 'southern hip hop', 'atl hip hop', 'hip hop'];True;76;0.876;0.412;5;-7.74;0;0.0748;0.431;0;0.101;0.15;130.052
['Travis Scott', 'Rob49', '21 Savage'];TOPIA TWINS (feat. Rob49 & 21 Savage);0lodMO0qK83vfPiiD7FMEt;2023-07-28;223174;['slap house', 'new orleans rap', 'rap', 'atl hip hop', 'hip hop'];True;76;0.715;0.567;1;-4.481;0;0.0865;0.06;0;0.0655;0.332;160.098
['Kukon', 'thk'];ohs 2022;5M3cjSLqeyNxehj7Tn4hGw;2022-12-23;156522;['polish trap', 'polish hip hop'];True;43;0.743;0.616;2;-7.993;1;0.238;0.641;1.17e-05;0.14;0.599;92.014
['$uicideboy$'];Kill Yourself (Part IV);3LLYTletE6uiRZ0hgMSrCN;2016-10-09;113972;['dark trap', 'cloud rap', 'new orleans rap', 'underground hip hop'];True;68;0.765;0.675;11;-4.441;0;0.0683;0.464;5.29e-06;0.133;0.192;117.99
['Travis Scott'];ASTROTHUNDER;4MXhiYIRDMGAuvZc5IFTwC;2018-08-03;142969;['rap', 'slap house'];True;75;0.7;0.46;4;-8.111;0;0.0661;0.142;4.81e-05;0.111;0.286;151.901
['Metro Boomin', 'Travis Scott'];Overdue (with Travis Scott);6LyAwkJsHlW7RQ8S1cYAtM;2018-11-06;166093;['rap', 'slap house'];True;77;0.634;0.401;11;-11.212;0;0.0446;0.731;0.000132;0.334;0.494;150.174
['Kid Cudi'];Do What I Want;5OIz27S6SQOJtweneBd6QP;2022-09-30;172053;['rap', 'ohio hip hop', 'pop rap', 'hip hop'];True;54;0.825;0.885;1;-3.928;1;0.126;0.0851;6.62e-06;0.114;0.372;154.998
['IVOXYGEN'];TEEN;5UfXCUt7n2Szb02OvN5S8A;2022-12-02;185808;[];False;0;0.743;0.593;3;-9.17;0;0.0565;0.017;0.33;0.115;0.425;136.998
['LOAT!'];villain;2jh8BwcLuoFRE95BlsMPzV;2021-05-03;158616;['aesthetic rap'];True;0;0.681;0.769;1;-7.963;1;0.238;0.347;0;0.171;0.544;93.988
['KILLY', 'Jaegen'];Shinigami Flow;7nqXeFOVEc7rJQSSpFzVH9;2023-01-27;103538;['canadian trap', 'canadian hip hop', 'melodic rap'];True;23;0.709;0.736;1;-8.419;0;0.0934;0.282;0;0.148;0.521;155.888
['16yrold', 'KILLY'];No Romance;1EuVCg1G7fVjuhKurU7m2b;2017-09-29;137200;['canadian trap', 'pluggnb', 'melodic rap', 'canadian hip hop'];True;42;0.802;0.424;1;-11.366;0;0.0627;0.603;7.73e-06;0.108;0.476;140.069
['Kukon', 'Suwal', 'Kusha'];bezludna wyspa;6dZf6f189d3DX35O8hFgGZ;2024-02-15;189280;['polish trap', 'polish hip hop'];True;43;0.7;0.605;11;-8.059;0;0.329;0.517;0;0.11;0.295;83.836
['Travis Scott'];I KNOW ?;6wsqVwoiVH2kde4k4KKAFU;2023-07-28;211582;['rap', 'slap house'];True;82;0.927;0.619;5;-4.441;0;0.0539;0.0186;0;0.104;0.817;117.995
['KILLY'];Y?;2Mytg2OcqnK15ZfmGx9PqB;2022-11-30;143880;['canadian trap', 'canadian hip hop', 'melodic rap'];True;0;0.678;0.646;1;-7.636;1;0.0575;0.172;0;0.218;0.202;119.932
['Metro Boomin', 'Travis Scott', 'Young Thug'];Trance (with Travis Scott & Young Thug);5wG3HvLhF6Y5KTGlK0IW3J;2022-12-02;194787;['melodic rap', 'trap', 'slap house', 'rap', 'gangster rap', 'atl hip hop', 'atl trap', 'hip hop'];True;82;0.765;0.552;1;-7.524;0;0.309;0.175;0;0.193;0.492;119.476
['Kukon', 'Chris Carson'];zachód na blokach;4HvREP0Mz6v3f31RzVVH8S;2022-12-23;187317;['polish trap', 'polish hip hop'];True;47;0.696;0.778;11;-7.063;1;0.183;0.121;0.000617;0.33;0.906;164.02
['Yeat'];Out thë way;6IyoLWzljeR3ldQo4KWHT6;2022-09-09;150242;['pluggnb', 'rage rap'];True;75;0.763;0.617;4;-7.509;0;0.246;0.23;1.96e-06;0.276;0.811;128.134
['Travis Scott', 'Drake'];MELTDOWN (feat. Drake);67nepsnrcZkowTxMWigSbb;2023-07-28;246134;['pop rap', 'slap house', 'rap', 'canadian hip hop', 'canadian pop', 'hip hop'];True;75;0.557;0.774;7;-5.275;0;0.351;0.012;0;0.396;0.397;111.975
['$uicideboy$'];King Tulip;6cpslq4nypOt9NhLPIwY6c;2018-09-07;185218;['dark trap', 'cloud rap', 'new orleans rap', 'underground hip hop'];True;56;0.584;0.576;10;-9.435;0;0.449;0.14;0;0.111;0.261;120.765
['Travis Scott', 'James Blake', '21 Savage'];TIL FURTHER NOTICE (feat. James Blake & 21 Savage);76gcXhY3Zv6wW0BTe9nHJo;2023-07-28;314836;['art pop', 'hip hop', 'uk alternative pop', 'slap house', 'rap', 'atl hip hop', 'indie soul', 'indietronica'];True;75;0.65;0.659;3;-6.522;0;0.123;0.174;0.00772;0.126;0.154;76.985
['Free Nationals', 'A$AP Rocky', 'Anderson .Paak'];Gangsta;49oKnEjgRSs3DMXScEU2G1;2024-02-23;194521;['neo soul', 'alternative r&b', 'escape room', 'rap', 'east coast hip hop', 'indie soul', 'hip hop'];True;55;0.642;0.784;9;-5.098;0;0.121;0.429;0.000166;0.225;0.518;79.969
['Kukon', 'Chris Carson', "Phunk'ill"];new york;4WyR2dK5O9Zj8jTitKr1Gd;2022-12-23;178667;['polish trap', 'polish hip hop'];True;36;0.771;0.525;1;-8.639;1;0.405;0.441;0.00012;0.0835;0.139;179.93
['Drake', '21 Savage', 'Travis Scott'];Pussy & Millions (feat. Travis Scott);2KLwPaRDOB87XOYAT2fgxh;2022-11-04;242027;['pop rap', 'slap house', 'rap', 'canadian hip hop', 'atl hip hop', 'canadian pop', 'hip hop'];True;69;0.747;0.618;4;-6.685;0;0.111;0.061;0;0.377;0.377;122.09
['21 Savage', 'Travis Scott', 'Metro Boomin'];née-nah;2yUzr8Sr6ldG8vmHhZwTnz;2024-01-12;220584;['rap', 'atl hip hop', 'slap house', 'hip hop'];True;73;0.681;0.758;1;-6.524;1;0.188;0.00465;0;0.555;0.331;165.409
['Young Thug', 'Travis Scott', 'Gunna'];Hot (Remix) [feat. Gunna and Travis Scott];4ea9w8c4ROqiZpJVhfBA3m;2019-12-20;279907;['melodic rap', 'trap', 'slap house', 'rap', 'gangster rap', 'atl hip hop', 'atl trap', 'hip hop'];True;71;0.845;0.631;7;-8.206;0;0.216;0.188;0;0.0806;0.545;111.983
['Kukon', 'Oskar83'];po staremu;00rijNLZib3FMdddbYIcvA;2022-12-23;152360;['polish trap', 'polish hip hop'];True;39;0.718;0.438;2;-7.646;1;0.326;0.439;2.3e-06;0.168;0.711;178.057
['Kukon', 'Kosmos'];4 am in Metawers;2ZbSIu4PbLIcyGE4LwSGfB;2022-04-07;160000;['polish trap', 'polish hip hop'];True;45;0.772;0.601;6;-5.916;0;0.293;0.369;0.000143;0.124;0.413;84.028
['Metro Boomin', 'Travis Scott', '21 Savage'];Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage];4WuOWVnAqvEQxgSRrspBgt;2022-12-02;207307;['rap', 'atl hip hop', 'slap house', 'hip hop'];True;73;0.667;0.648;2;-5.117;1;0.284;0.175;0.000155;0.147;0.254;87.975
['Kukon', 'Ka-Meal'];pudelek;3vVt4nyi6oq6JgkVSlo1jf;2022-12-23;189890;['polish trap', 'polish hip hop'];True;36;0.722;0.643;7;-7.993;1;0.308;0.617;5.11e-05;0.112;0.104;90.974
['Kanye West'];Dark Fantasy;7yNK27ZTpHew0c55VvIJgm;2010-11-22;280787;['chicago rap', 'rap', 'hip hop'];True;67;0.599;0.587;5;-5.919;1;0.0423;0.274;0;0.167;0.373;87.998
['Kukon', 'Ka-Meal'];pudelek;1EtczShQkkQyte3jazyAks;2022-11-15;189890;['polish trap', 'polish hip hop'];True;27;0.722;0.643;7;-7.993;1;0.308;0.617;5.11e-05;0.112;0.104;90.974
['Kukon', 'Lex Clockwork'];specyficzny zapach;3fqKNAjQsn4D8xRhM6HWsk;2022-12-23;170674;['polish trap', 'polish hip hop'];True;34;0.913;0.705;7;-8.452;1;0.328;0.515;0;0.107;0.807;90.025
['Travis Scott', 'Yung Lean', 'Dave Chappelle'];PARASAIL (feat. Yung Lean & Dave Chappelle);2Q0aElTZQtEUsoiaQfizu6;2023-07-28;154964;['psychedelic hip hop', 'cloud rap', 'slap house', 'underground hip hop', 'black comedy', 'rap', 'comedy'];False;60;0.361;0.395;5;-8.51;0;0.0429;0.858;0.00356;0.211;0.208;75.923
['Kukon', 'Baltik Beatz', "Phunk'ill"];w aucie noc i 90bpm;1VoUHMVxu1qG2Z9josOhWs;2022-12-23;146667;['polish trap', 'polish hip hop'];True;52;0.819;0.614;6;-7.878;1;0.256;0.588;2.89e-06;0.202;0.746;90.033
